building,geometry
yes,POINT (73.0996312 33.7263936)
house,POINT (73.0322191 33.6843276)
mosque,POINT (73.0600461 33.7228261)
mosque,POINT (73.0394691 33.6889667)
office,POINT (73.0644608 33.6974089)
office,POINT (73.0628672 33.6987072)
yes,POINT (73.069433 33.703402)
office,POINT (73.0636102 33.7129018)
office,POINT (73.0628479 33.7124718)
yes,POINT (73.1754564 33.7213134)
school,POINT (73.1532625 33.5294578)
house,POINT (72.9976632 33.6416682)
yes,POINT (73.0522045 33.7094989)
office,POINT (73.0580935 33.7115907)
yes,POINT (73.1567294 33.5688406)
house,POINT (73.1568161 33.5662102)
yes,POINT (73.1520204 33.5657191)
yes,POINT (73.1558991 33.565587)
yes,POINT (73.1912394 33.469695)
yes,POINT (73.1910013 33.4691652)
yes,POINT (72.8301738 33.6991533)
yes,POINT (72.8406962 33.6854492)
yes,POINT (72.8503795 33.6789877)
yes,POINT (72.8533453 33.674723)
yes,POINT (72.8548672 33.6750882)
yes,POINT (72.8635311 33.6691621)
yes,POINT (72.8643522 33.6697394)
yes,POINT (72.8647557 33.6687261)
yes,POINT (72.8787726 33.667373)
yes,POINT (72.8859741 33.6652864)
yes,POINT (72.8864156 33.6629168)
yes,POINT (72.8920793 33.6625036)
yes,POINT (72.8996527 33.6589228)
yes,POINT (72.9113152 33.6491305)
yes,POINT (72.9425196 33.6299752)
school,POINT (73.1317362 33.5355394)
mosque,POINT (73.0452217 33.6693228)
university,POINT (73.0283367 33.7157549)
hut,POINT (73.0793192 33.7485551)
mosque,POINT (73.1568001 33.6577651)
mosque,POINT (73.1909883 33.5012293)
mosque,POINT (73.0770774 33.6600513)
mosque,POINT (73.1676923 33.5494152)
mosque,POINT (72.970915 33.6274426)
mosque,POINT (72.9210651 33.6314052)
mosque,POINT (72.9367486 33.6155222)
mosque,POINT (72.9374403 33.617253)
mosque,POINT (73.176642 33.5238687)
yes,POINT (72.9875392 33.6853476)
apartments,POINT (73.0079 33.66884)
yes,POINT (73.0867699 33.7250594)
yes,POINT (73.0769196 33.7200925)
yes,POINT (72.9795083 33.7042314)
yes,POINT (73.0918996 33.7214581)
yes,POINT (73.1013828 33.7396511)
mosque,POINT (73.0461113 33.7070594)
yes,POINT (73.0506465 33.6951994)
residential,POINT (73.1290448 33.6297925)
yes,POINT (73.0302717 33.6768611)
encroachment,POINT (72.9965683 33.6585049)
office,POINT (73.0941636 33.723266)
office,POINT (73.0615446 33.712211)
industrial,POINT (73.0363532 33.6485893)
