landuse,geometry
retail,POINT (73.0117507 33.6909166)
retail,POINT (72.9803484 33.6822808)
residential,POINT (73.0567043 33.6981231)
military,POINT (73.0696208 33.6974654)
military,POINT (73.107919 33.7165633)
residential,POINT (72.9988905 33.6740404)
residential,POINT (72.9770427 33.6433946)
residential,POINT (73.107621 33.7138354)
retail,POINT (73.1407006 33.6725215)
military,POINT (73.0976266 33.6929173)
residential,POINT (73.1548872 33.6202935)
grass,"POLYGON ((73.1536509 33.5235596, 73.154066 33.5235328, 73.1540452 33.5234159, 73.1536509 33.5235596))"
