element,id,geometry,name,amenity,shop
node,61146664,POINT (73.0112954 33.698086),عسکری بینک,bank,
node,61146673,POINT (73.0105887 33.6976525),الائیڈ بینک لمیٹڈ,bank,
node,61146691,POINT (73.0118772 33.6960411),United Bank Ltd,bank,
node,211325636,POINT (73.0570403 33.7383666),Daman-e-Koh,restaurant,
node,212538228,POINT (72.986826 33.683766),اسٹینڈرڈ چارٹرڈ,bank,
node,234511823,POINT (73.0113365 33.6966838),اسٹینڈرڈ چارٹرڈ,bank,
node,237459304,POINT (72.9887772 33.684909),City Bank,bank,
node,237492791,POINT (72.9868747 33.6838147),Saudi Pak Commercial Bank,bank,
node,237495339,POINT (72.9860121 33.6843984),عسکری بینک,bank,
node,240218764,POINT (73.0417644 33.7104738),Ali Medical Centre,hospital,
node,241905500,POINT (72.9988425 33.6905349),Tariq Market,,convenience
node,242106656,POINT (73.1397655 33.672493),شہزاد ٹاؤن Shehzad Town Chak Shehzad islamabad,,supermarket
node,247682428,POINT (73.0728704 33.7302916),Islamabad Model College for Girls F-6/2,school,
node,248864319,POINT (73.0202663 33.684807),FG Boys Model School,school,
node,253018400,POINT (73.0828053 33.7211006),Poly Clinic Hospital,hospital,
node,254975704,POINT (73.0576782 33.7259475),The Hot Spot,cafe,
node,254975815,POINT (73.0578027 33.7259527),The Gelato Affair,cafe,
node,254975882,POINT (73.05794 33.7260597),گلوریا جینز,cafe,coffee
node,254976251,POINT (73.0577749 33.7263387),Golden Dragon,restaurant,
node,254979635,POINT (73.0813998 33.7364262),The Hot Spot Cafe,cafe,
node,254985095,POINT (73.0858755 33.7251136),Muslim Commercial Bank,bank,
node,255910264,POINT (73.0541945 33.6963847),,school,
node,255935080,POINT (73.0854265 33.7184222),ایچ بی ایل پاکستان,bank,
node,255937348,POINT (73.0855571 33.7162527),Muslim Commercial Bank,bank,
node,256371663,POINT (73.066608 33.6823327),Beaconhouse Margalla Campus,school,
node,256825235,POINT (73.0531003 33.722589),Froebel's International School,school,
node,258067338,POINT (72.9803484 33.6822808),Salman Market,,convenience
node,271785889,POINT (73.0703332 33.6823018),OPF Boys College,school,
node,271786131,POINT (73.0712068 33.6817039),Islamabad Convent,school,
node,297648462,POINT (73.0794388 33.7054375),Islamabad International َDental Hospital and College,hospital,
node,306544013,POINT (73.1103956 33.7843301),"Isloo Grill, Pir Sohawa",restaurant,
node,312719028,POINT (73.0170436 33.7156183),PAF Hospital,hospital,
node,652425201,POINT (72.9801959 33.6783486),International Islamic Grammer School,school,
node,658983454,POINT (73.0754287 33.7295886),Harware Store,,hardware
node,659727643,POINT (73.0780948 33.7354098),Table Talk,cafe,
node,659730873,POINT (73.0579305 33.7262071),Howdy,cafe,
node,659736441,POINT (72.9871111 33.6834934),Food 24 Hours,fast_food,supermarket
node,660156180,POINT (73.0655153 33.7286702),,school,
node,660960200,POINT (73.0749265 33.7294496),Islamabad Vintage Quisine,restaurant,
node,660960870,POINT (73.0617424 33.721965),Kitchen Cusine Grill,restaurant,
node,660960871,POINT (73.0621813 33.7217479),Zefra Restaurant,restaurant,
node,662431114,POINT (73.1995233 33.5741251),,school,
node,663520522,POINT (73.0746698 33.7293076),کینٹکی فرائیڈ چکن,fast_food,
node,800039814,POINT (73.075362 33.7303805),Luna Caprese,restaurant,
node,800040633,POINT (73.0759414 33.7288524),HSBC,bank,
node,800043396,POINT (73.0732271 33.7278217),,,gift
node,800043474,POINT (73.0730876 33.7280493),,,florist
node,821664342,POINT (73.0779705 33.7356049),Mocca,cafe,
node,920248536,POINT (73.04055 33.7127752),Bakeman,,convenience
node,925162114,POINT (73.0256094 33.6400387),METRO cash & carry,,supermarket
node,977854870,POINT (73.0570672 33.720032),,fast_food,
node,977855824,POINT (73.0587849 33.7221222),پیزا ہٹ,restaurant,
node,1081145390,POINT (73.0586295 33.7224167),Saeed Book Bank,,books
