element,id,name,category,lat,lon
node,61146664,عسکری بینک,bank,33.698086,73.0112954
node,61146673,الائیڈ بینک لمیٹڈ,bank,33.6976525,73.0105887
node,61146691,United Bank Ltd,bank,33.6960411,73.0118772
node,211325636,Daman-e-Koh,restaurant,33.7383666,73.0570403
node,212538228,اسٹینڈرڈ چارٹرڈ,bank,33.683766,72.986826
node,234511823,اسٹینڈرڈ چارٹرڈ,bank,33.6966838,73.0113365
node,237459304,City Bank,bank,33.684909,72.9887772
node,237492791,Saudi Pak Commercial Bank,bank,33.6838147,72.9868747
node,237495339,عسکری بینک,bank,33.6843984,72.9860121
node,240218764,Ali Medical Centre,hospital,33.7104738,73.0417644
node,241905500,Tariq Market,convenience,33.6905349,72.9988425
node,242106656,شہزاد ٹاؤن Shehzad Town Chak Shehzad islamabad,supermarket,33.672493,73.1397655
node,247682428,Islamabad Model College for Girls F-6/2,school,33.7302916,73.0728704
node,248864319,FG Boys Model School,school,33.684807,73.0202663
node,253018400,Poly Clinic Hospital,hospital,33.7211006,73.0828053
node,254975704,The Hot Spot,cafe,33.7259475,73.0576782
node,254975815,The Gelato Affair,cafe,33.7259527,73.0578027
node,254975882,گلوریا جینز,cafe,33.7260597,73.05794
node,254976251,Golden Dragon,restaurant,33.7263387,73.0577749
node,254979635,The Hot Spot Cafe,cafe,33.7364262,73.0813998
node,254985095,Muslim Commercial Bank,bank,33.7251136,73.0858755
node,255910264,,school,33.6963847,73.0541945
node,255935080,ایچ بی ایل پاکستان,bank,33.7184222,73.0854265
node,255937348,Muslim Commercial Bank,bank,33.7162527,73.0855571
node,256371663,Beaconhouse Margalla Campus,school,33.6823327,73.066608
node,256825235,Froebel's International School,school,33.722589,73.0531003
node,258067338,Salman Market,convenience,33.6822808,72.9803484
node,271785889,OPF Boys College,school,33.6823018,73.0703332
node,271786131,Islamabad Convent,school,33.6817039,73.0712068
node,297648462,Islamabad International َDental Hospital and College,hospital,33.7054375,73.0794388
node,306544013,"Isloo Grill, Pir Sohawa",restaurant,33.7843301,73.1103956
node,312719028,PAF Hospital,hospital,33.7156183,73.0170436
node,652425201,International Islamic Grammer School,school,33.6783486,72.9801959
node,658983454,Harware Store,hardware,33.7295886,73.0754287
node,659727643,Table Talk,cafe,33.7354098,73.0780948
node,659730873,Howdy,cafe,33.7262071,73.0579305
