length,highway,geometry
21.187492169308026,tertiary,"LINESTRING (72.9412907 33.6326904, 72.9413162 33.6327837, 72.9413559 33.6328298, 72.9413927 33.6328525)"
445.7564509012425,trunk,"LINESTRING (72.9412907 33.6326904, 72.9416638 33.6327154, 72.9419442 33.6327279, 72.9421967 33.6327347, 72.9426092 33.6327259, 72.9430992 33.6326692, 72.9433768 33.6326165, 72.9436532 33.6325352, 72.9441742 33.6323878, 72.9448199 33.6321727, 72.9453753 33.6319872, 72.9456413 33.6319025, 72.9459296 33.6318597)"
91.28564583854609,residential,"LINESTRING (72.9476044 33.6322108, 72.9471216 33.6329266)"
72.80653539592565,trunk,"LINESTRING (72.9476044 33.6322108, 72.9479048 33.6324165, 72.9481887 33.6326481)"
400.015205636342,trunk,"LINESTRING (72.9489529 33.6332815, 72.9501455 33.6341886, 72.9506677 33.6346427, 72.9508034 33.6347513, 72.95121 33.6350158, 72.9517362 33.6353571, 72.9520347 33.6355406, 72.9522045 33.6356407)"
169.46015820703016,residential,"LINESTRING (72.9489529 33.6332815, 72.9487442 33.6333508, 72.9485279 33.6334521, 72.9483758 33.633559, 72.9481832 33.633739, 72.9479804 33.6338347, 72.947781 33.6338516, 72.9475648 33.6339895, 72.9474835 33.6341072)"
263.68101111245153,trunk,"LINESTRING (72.9824834 33.6505486, 72.9834083 33.6510698, 72.9848681 33.6518454)"
280.55297775736324,trunk_link,"LINESTRING (72.9824834 33.6505486, 72.9824162 33.650601, 72.9823419 33.6506221, 72.9822655 33.6506159, 72.982185 33.6506043, 72.9821105 33.6505796, 72.9820287 33.6505532, 72.9811063 33.6502134, 72.9798831 33.6498656, 72.9796805 33.6499609)"
28.568929875060643,primary,"LINESTRING (73.0142342 33.6877074, 73.0144935 33.6878469)"
12.460929560654598,primary_link,"LINESTRING (73.0142342 33.6877074, 73.0143111 33.6876154)"
95.16626404580614,residential,"LINESTRING (73.0164544 33.6888709, 73.0163851 33.6889638, 73.0161871 33.6892337, 73.0159094 33.6895967)"
176.757505838727,primary,"LINESTRING (73.0164544 33.6888709, 73.0171328 33.6892298, 73.017585 33.6895137, 73.0177284 33.6896447, 73.017774 33.6897018, 73.0178139 33.6897636, 73.0178678 33.6898893)"
11.222378121288077,tertiary,"LINESTRING (73.0144019 33.6951781, 73.0142983 33.6951256)"
322.1587108700781,secondary,"LINESTRING (73.0144019 33.6951781, 73.0152185 33.6941127, 73.016051 33.693013, 73.0162632 33.6927295)"
51.776241314577256,trunk,"LINESTRING (73.1795886 33.540974, 73.179826 33.5405525)"
130.00016444374694,residential,"LINESTRING (73.180583 33.5392712, 73.1806577 33.5392079, 73.1807629 33.5391656, 73.1808489 33.5391508, 73.1809164 33.5391448, 73.1810173 33.5391485, 73.1810901 33.5391641, 73.1811812 33.5392032, 73.1817213 33.5396309)"
172.94926413070363,trunk_link,"LINESTRING (73.180583 33.5392712, 73.1807607 33.5388466, 73.1809371 33.5383162, 73.1811043 33.5377787)"
28.99068633770461,trunk,"LINESTRING (73.085218 33.7040792, 73.0854974 33.7041973)"
44.63500546647819,trunk,"LINESTRING (73.0901445 33.7069187, 73.0905485 33.7071382)"
106.36470986264722,tertiary,"LINESTRING (73.0901445 33.7069187, 73.0902269 33.7070038, 73.0902555 33.7070414, 73.0902717 33.7070767, 73.0902779 33.7071003, 73.090281 33.7071313, 73.090279 33.707159, 73.0901084 33.7075277, 73.0899736 33.7077918)"
273.2148115242672,trunk,"LINESTRING (73.0991362 33.7116621, 73.1016454 33.7129585)"
15.003158079869554,trunk,"LINESTRING (73.1028993 33.7136258, 73.1030361 33.7136983)"
28.13548854893865,primary,"LINESTRING (73.1028993 33.7136258, 73.1028048 33.7137384, 73.1027242 33.7138327)"
